Cities,Latitudes,Longitudes,Max Temps,Humidity,Cloudiness,Wind Speed
Abaete,-19.16,-45.45,81.04,71,68,6.2
Abay,49.63,72.87,33.8,90,90,2.95
Abu Kamal,34.45,40.92,54.4,81,8,11.01
Abyek,36.04,50.53,46.4,52,0,6.93
Acaponeta,22.49,-105.36,80.68,66,0,3.4
Acuitzio,20.34,-101.98,75.19,30,0,3.18
Aden,12.79,45.03,80.05,95,20,19.28
Adwa,14.16,38.9,63.4,66,12,2.84
Agadez,16.97,7.99,96.8,19,0,9.17
Ahipara,-35.17,173.16,60.7,100,64,2.39
Akdepe,42.05,59.39,51.8,87,0,4.85
Aklavik,68.22,-135.01,17.6,67,75,20.8
Aksu,52.04,76.93,28.4,100,40,2.24
Alamos,-36.9,-62.36,81.4,45,0,15.03
Alanya,36.55,32,53.6,93,0,2.24
Aldan,58.61,125.39,17.68,89,88,2.73
Alihe,50.57,123.73,18.04,74,44,5.19
Allingabro,56.47,10.33,45,65,0,13.87
Alta,69.97,23.27,35.6,59,24,18.34
Alyangula,-13.85,136.42,78.8,100,36,4.7
Amazar,53.86,120.88,18.4,50,36,5.64
Ambatofinandrahana,-20.55,46.8,63.04,93,64,4.18
Amiens,49.89,2.3,51.8,87,90,5.82
Amursk,50.23,136.9,-1.14,66,0,3.06
Andradas,-22.07,-46.57,82,78,40,5.82
Ankang,32.73,108.99,38.29,62,88,1.72
Antanifotsy,-19.66,47.32,60.7,97,92,2.95
Antofagasta,-23.65,-70.4,69.8,60,0,11.41
Apatfalva,46.17,20.58,57.2,37,0,8.05
Aquidauana,-20.47,-55.78,88.24,69,0,4.52
Ararat,-37.28,142.93,57,83,32,3.06
Aras,14.28,44.38,55.84,62,8,3.18
Arica,-18.48,-70.32,77,56,0,11.41
Arkhara,49.42,130.09,8.5,43,12,5.97
Arkhipo-Osipovka,44.37,38.53,37.75,87,0,8.21
Ashta,16.95,74.41,70.42,54,0,3.51
Aswan,24.09,32.9,87.8,22,0,6.93
Atar,20.52,-13.05,81.49,27,0,10.33
Atascocita,30,-95.16,73.99,60,90,9.17
Atasu,48.68,71.64,23.71,78,8,2.95
Athabasca,54.72,-113.29,41.71,82,8,12.68
Awjilah,29.14,21.3,70.33,46,24,13.13
Ayagoz,47.96,80.43,15.25,59,0,3.18
Ayni,39.39,68.54,26.68,85,36,1.28
Ayorou,14.73,0.92,92.83,9,80,8.21
Babati,-4.21,35.75,77.44,40,24,11.68
Babu,23.23,104.89,52.69,94,92,2.95
Bad Aussee,47.61,13.78,55,58,0,3.36
Bad Frankenhausen,51.36,11.1,50,70,75,11.41
Bagdarin,54.44,113.59,13.54,49,0,8.21
Bage,10.95,11.38,91.3,30,32,3.4
Bageshwar,29.85,79.77,39.1,58,0,3.74
Baishishan,43.58,127.55,12.55,74,0,4.29
Balangiga,11.11,125.39,75.37,89,88,8.55
Balikpapan,-1.24,116.86,81.31,100,8,7.76
Ballybofey,54.8,-7.78,46.4,70,40,10.29
Bandar-E Anzali,37.47,49.46,51.8,93,0,1.72
Bandrele,-12.91,45.19,80.6,94,0,5.82
Bani,15.89,120.27,72.76,95,0,5.19
Bani Walid,31.76,14,57.19,57,0,12.12
Banjar,-7.37,108.54,71.95,97,44,1.5
Baoning,25.34,110.03,50,81,40,4.47
Bar Harbor,44.39,-68.2,44.01,74,90,17.22
Barra Do Corda,-5.5,-45.25,84.64,82,80,5.75
Bartlesville,36.75,-95.98,53.01,81,90,16.11
Bastia,44.6,8.98,64,76,0,2.24
Basudebpur,21.14,86.74,79.15,100,0,9.44
Batagay-Alyta,67.8,130.41,-10.86,65,56,2.73
Battipaglia,40.61,14.98,66.2,29,0,10.29
Baturaja,-4.12,104.17,72.85,96,76,2.06
Bay Roberts,47.58,-53.28,51.8,62,75,18.34
Bayji,34.93,43.49,54.76,73,20,5.19
Bela,26.23,66.31,66.37,58,56,1.95
Belle Fourche,44.67,-103.85,50,75,1,8.05
Beloye,45.05,39.65,37.99,86,0,8.95
Belturbet,54.1,-7.44,48.99,64,92,1.99
Bemidji,47.48,-94.89,48.99,94,1,3.36
Benalla,-36.55,145.99,70,72,90,10.29
Beringovskiy,63.05,179.32,6.88,84,92,20.74
Bestobe,52.5,73.1,25.78,72,48,3.4
Biak,-0.91,122.88,79.42,97,44,3.18
Bijie,27.3,105.3,42.07,99,92,2.73
Bilibino,68.06,166.44,-18.24,25,0,2.17
Biltine,14.53,20.93,86.71,21,56,6.53
Bintulu,3.17,113.03,77,100,75,2.24
Birjand,32.86,59.22,51.8,62,75,21.92
Bismarck,46.81,-100.78,46.99,100,1,6.93
Blagoyevo,63.37,47.92,32.17,75,44,10
Boa Viagem,-5.13,-39.73,75.19,100,80,2.95
Bodden Town,19.28,-81.25,80.6,78,75,11.41
Bolotnoye,55.67,84.39,22.18,78,80,2.95
Bolshoy Lug,52.08,104.09,30.2,68,0,6.71
Boras,57.72,12.94,43,65,20,17.22
Bose,45.46,8.01,69.8,29,0,8.05
Bourail,-21.57,165.5,72.76,98,76,2.95
Bourges,47.08,2.4,60.8,51,0,11.41
Bourg-Les-Valence,44.96,4.91,66.2,29,0,14.99
Bowen,-20.01,148.25,75.2,94,40,5.82
Bowmore,34.94,-79.3,64.99,17,1,6.93
Brattleboro,42.85,-72.56,41,51,40,18.34
Brest,52.09,23.69,42.61,55,0,9.55
Broome,52.47,1.45,50,61,0,4.7
Brownwood,31.71,-98.99,73.4,72,75,14.99
Buala,-8.15,159.59,78.97,100,48,5.19
Buchanan,5.88,-10.05,86,74,40,8.05
Bucharest,44.44,26.1,55,23,0,8.05
Burns Lake,54.23,-125.76,38.92,60,8,3.06
Butaritari,3.07,172.79,81.4,100,68,8.99
Butte,46.01,-112.54,48.99,64,1,2.84
Cabedelo,-6.97,-34.84,89.6,62,40,10.29
Cacule,-14.5,-42.22,76.18,98,92,6.53
Calabozo,8.92,-67.43,97.51,33,0,13.8
Campulung Moldovenesc,47.53,25.57,44.6,24,0,8.05
Canutama,-6.53,-64.38,87.25,72,36,3.18
Capao Da Canoa,-29.75,-50.01,70.87,100,0,9.22
Carbonear,47.73,-53.24,51.8,62,75,18.34
Carrefour,18.53,-72.41,87.8,52,20,11.41
Cartagena,37.63,-1,60.8,82,20,10.29
Carupano,10.67,-63.26,82.3,70,0,14.81
Catabola,-12.14,17.29,70.15,65,68,3.4
Cavalcante,-13.79,-47.46,75.01,96,88,3.62
Challapata,-18.9,-66.78,64.12,18,24,6.76
Chama,-11.22,33.16,69.97,87,44,6.98
Chaman,30.92,66.46,42.43,81,88,3.18
Champagnole,46.75,5.91,61,38,0,3.36
Changli,30.54,105.42,48.1,98,92,5.97
Chaohu,31.63,117.88,44.6,81,0,2.24
Chapais,49.78,-74.86,21.2,34,1,10.29
Chegdomyn,51.13,133.04,-5.73,64,0,2.39
Chenghai,23.46,116.77,57.2,100,90,6.71
Chern,53.45,36.91,27.67,87,0,8.55
Chhoti Sadri,24.38,74.7,66.91,39,0,7.76
Chik,54.99,82.44,33.8,59,0,8.95
Chimbarongo,-34.71,-71.04,75.2,41,0,14.99
Chinhoyi,-17.36,30.19,80.14,42,92,10.67
Chirgaon,25.57,78.81,65.02,42,0,2.95
Chitungwiza,-18.01,31.07,67.63,70,0,11.12
Chocen,50,16.22,62.6,48,0,3.36
Chongwe,-15.33,28.68,69.8,73,0,6.93
Christchurch,-43.53,172.64,62.01,93,0,2.24
Chunhuhub,19.59,-88.59,89.05,34,0,3.18
Clarence Town,-32.59,151.78,72,88,20,5.82
Clemson,34.69,-82.84,69.8,18,1,3.36
Cobija,-11.02,-68.77,77,94,75,8.05
Cobourg,43.96,-78.17,37,36,1,14.99
Cockburn Town,21.46,-71.14,79.6,98,0,10.22
Colquechaca,-18.7,-66,64.66,39,0,2.62
Contamana,-7.35,-75.01,83.29,79,68,2.28
Cordoba,5.59,-73.79,61.69,83,44,2.73
Coreau,-3.53,-40.66,77.17,99,76,4.74
Coro,11.41,-69.67,87.97,57,0,13.69
Csengele,46.54,19.87,57.2,44,0,5.82
Cudahy,33.96,-118.19,64,55,75,3.36
Cueramaro,20.62,-101.72,69.8,37,20,4.7
Dagumba-An,8.15,124.59,73,88,0,5.01
Dakar,14.69,-17.45,73.4,60,20,16.11
Dalnerechensk,45.93,133.72,4,61,0,4.74
Damara,4.96,18.7,87.8,62,40,5.82
Dandong,40.12,124.37,21.46,61,0,5.3
Darovskoy,58.77,47.96,21.1,70,0,4.07
Dasuya,31.81,75.66,62.14,66,56,4.52
Dataganj,28.03,79.41,72.94,37,0,14.36
Deep River,46.1,-77.49,34,35,1,11.41
Deer Lake,49.18,-57.43,42.8,85,75,13.87
Dembi Dolo,8.53,34.8,76.99,51,36,3.18
Demirci,39.05,28.66,59,10,0,17
Den Helder,52.96,4.76,46,81,90,10.29
Descalvado,-21.91,-47.62,82,57,40,5.82
Dhamnod,23.44,74.97,70.69,28,0,9.66
Dikson,73.51,80.55,15.07,91,68,21.52
Dingle,11,122.67,77.08,77,68,12.12
Dingli,35.86,14.38,57.2,87,20,5.82
Dobryanka,58.45,56.42,26.6,86,0,6.71
Doka,13.52,35.76,88.24,15,12,10.78
Dondo,-19.62,34.74,80.6,88,40,10.29
Dongsheng,29.72,112.52,40.54,84,44,4.97
Dubovskoye,47.41,42.76,35.41,67,24,7.2
Dubrajpur,23.79,87.38,68,60,0,2.24
Dubrovnik,42.65,18.09,57.2,62,0,2.24
Dudinka,69.41,86.18,6.7,78,80,10.45
Dunmore East,52.15,-6.99,48.99,70,92,1.01
Dvinskoy,62.16,45.12,29.92,88,48,9.44
Dyersburg,36.03,-89.39,64,38,1,10.29
Dzerzhinsk,56.24,43.46,37.4,64,0,8.95
Easley,34.83,-82.58,66.99,20,1,4.7
Eidfjord,60.47,7.07,28.99,80,88,14
Eisiskes,54.17,25,48.99,36,0,9.17
Ekhabi,53.51,142.97,-1.32,79,24,11.45
El Reno,35.53,-97.96,66,77,90,18.34
Ereymentau,51.62,73.1,25.51,77,80,2.73
Esil,51.96,66.41,24.61,81,76,2.95
Esmeralda,-34.33,-70.9,76.54,49,12,2.73
Eydhafushi,5.1,73.07,86.35,95,56,7.65
Fairmont,40.64,-97.59,52,87,90,14.99
Farah,32.37,62.11,53.95,69,88,2.62
Farmers Branch,32.93,-96.9,69.01,77,90,12.75
Felipe Carrillo Puerto,19.58,-88.05,89.59,29,0,4.74
Finale Emilia,44.83,11.29,66.2,34,0,2.24
Finote Selam,10.7,37.27,61.24,71,48,3.4
Fiumicino,41.77,12.23,64.4,67,0,5.82
Flinders,-34.58,150.85,72,77,32,2.62
Floro,61.6,5.03,39.2,98,88,19.46
Foam Lake,51.65,-103.53,45.4,100,0,4.63
Fontenay-Le-Comte,46.47,-0.81,63,62,0,4.7
Forres,57.61,-3.61,48.2,65,20,14.99
Fountain,38.68,-104.7,53.01,100,75,9.17
Frunzivka,47.33,29.75,42.07,46,32,11.9
Gander,48.95,-54.61,48.2,70,40,13.87
Gaoua,10.33,-3.18,93.37,22,64,2.06
Garowe,8.41,48.48,79.51,56,0,12.68
Gawler,-34.6,138.75,70,82,75,4.7
Gayeri,12.65,0.49,93.1,15,48,7.2
Gboko,7.32,9,88.15,56,48,6.87
Gemena,3.25,19.78,71.59,91,76,3.62
General Bravo,25.79,-99.18,80.05,66,0,12.24
Genhe,50.78,121.52,14.62,82,0,7.54
Georgetown,6.8,-58.16,89.6,46,75,13.87
Gewane,10.16,40.66,80.68,39,0,7.2
Ghogha,21.69,72.28,73.3,38,0,3.06
Ginda,30.69,78.49,42.25,61,20,2.95
Gizo,31.8,34.94,62.6,77,40,3.36
Glyadyanskoye,54.91,65.09,19.48,67,0,2.95
Gobabis,-22.45,18.97,82.03,29,76,5.53
Goma,-1.67,29.23,64.21,87,8,1.95
Gorgan,36.84,54.43,48.2,93,0,4.7
Goure,13.98,10.27,91.48,18,0,4.74
Graaff-Reinet,-32.25,24.53,72.04,58,48,4.29
Grand Bank,47.1,-55.77,42.01,93,75,14.99
Grass Valley,39.22,-121.06,57,100,90,4.74
Great Bend,38.36,-98.78,60.8,55,75,23.04
Green River,41.53,-109.47,39.2,69,75,16.11
Greystones,53.14,-6.06,48.2,61,75,5.82
Guanay,-15.5,-67.88,70.24,83,80,2.39
Guane,22.2,-84.09,80.05,45,0,4.41
Guasdualito,7.24,-70.73,96.8,32,20,4.7
Gusau,12.17,6.66,88.33,37,0,2.84
Gushikawa,26.35,127.87,62.6,51,20,14.99
Ha Giang,22.83,104.99,60.07,99,92,1.95
Hailar,49.2,119.7,26.32,55,0,12.46
Hakkari,61.34,23.75,39.2,64,0,11.41
Harrismith,-28.27,29.13,59.89,88,48,2.17
Hattiesburg,31.33,-89.29,73.4,30,1,4.07
Havre-Saint-Pierre,50.23,-63.6,30.2,86,90,17.22
Hayden,47.77,-116.79,51.01,75,1,3.36
Hearst,49.69,-83.67,40.45,57,0,9.44
Hereford,52.06,-2.72,51.01,61,20,3.36
Hermanus,-34.42,19.24,72,84,64,3.62
Hilo,19.71,-155.08,72,77,75,5.82
Hinton,53.4,-117.57,43.24,58,12,2.95
Hirado,33.32,129.49,48,44,0,3
Hofn,64.25,-15.21,37.48,100,92,9.22
Holladay,40.67,-111.82,52,76,75,8.05
Honningsvag,70.98,25.97,31.45,88,0,7.99
Hope,49.38,-121.43,54,81,20,6.93
Houma,35.63,111.36,28.57,61,44,2.28
Hovd,63.83,10.7,37.99,93,75,36.91
Huangchuan,24.57,102.46,66,87,40,6.71
Hun,50.34,4.87,51.01,81,36,8.05
Ialibu,-6.28,143.99,53.68,96,68,1.05
Ibatiba,-20.23,-41.51,73.84,75,36,4.41
Iberia,-11.41,-69.49,86.62,67,24,2.95
Ingham,-18.65,146.16,78.16,100,92,7.87
Ipoh,4.59,101.08,80.6,83,75,3.36
Iquique,-20.22,-70.14,73.4,60,0,14.99
Iralaya,15,-83.23,83.74,67,12,6.64
Isiro,2.77,27.62,84.19,44,12,4.41
Isla Mujeres,21.23,-86.73,78.8,47,75,6.93
Issaquah,47.53,-122.04,55,71,1,4.7
Ivnya,51.06,36.14,33.8,74,75,11.18
Iznoski,54.99,35.31,23.89,80,0,2.84
Jacareacanga,-6.22,-57.76,87.07,71,44,2.73
Jamame,0.07,42.75,79.15,82,24,8.88
Jambi,-1.6,103.62,73.12,97,88,3.85
Jamestown,-33.21,138.6,63.22,93,92,7.76
Jasper,33.83,-87.28,72,26,0,3.51
Javanrud,34.8,46.49,50,46,75,4.7
Jiangyou,31.78,104.73,40.54,89,44,3.18
Jingdezhen,29.29,117.2,41.17,79,0,4.07
Jinhua,29.11,119.65,37.12,72,12,4.18
Jiwani,25.05,61.74,73.75,83,88,7.54
Jumla,29.28,82.18,22.99,89,0,2.28
Kabinda,-6.14,24.49,71.05,92,48,4.97
Kabo,7.69,18.62,94.09,23,36,5.86
Kagadi,0.95,30.8,81.76,81,20,6.64
Kaili,-3.46,120.21,70.69,86,56,1.95
Kamina,-8.74,25,71.59,90,36,4.41
Kande,0.3,32.05,69.88,83,12,1.95
Karacabey,40.21,28.36,54,50,0,14.99
Karauli,26.5,77.03,66.73,39,0,2.28
Kargasok,59.06,80.87,22.54,86,64,2.39
Kasongo-Lunda,-6.48,16.82,71.05,93,56,2.06
Katakwi,1.91,33.96,78.61,36,0,14.14
Katangli,51.71,143.23,8.05,95,20,12.01
Katherine,-14.47,132.26,78.8,83,90,1.12
Kerman,30.29,57.06,55.4,30,40,4.7
Ketchikan,55.34,-131.65,48.2,70,90,12.75
Keti Bandar,24.14,67.45,76.45,92,0,13.69
Key Biscayne,25.69,-80.16,80.01,44,20,5.82
Kharp,66.82,65.8,6.79,70,0,4.97
Kidodi,-7.6,37,83.65,51,20,6.08
Kikwit,-5.04,18.82,72.31,95,76,3.62
Kimbe,-5.56,150.15,78.34,100,36,3.85
Kingston,44.23,-76.48,37.99,40,20,11.41
Kirkenaer,60.46,12.06,44.6,44,0,8.05
Kirovskiy,45.09,133.51,5.62,72,0,2.39
Kisangani,0.52,25.21,74.83,96,64,4.74
Kitimat,54.02,-128.69,42.8,87,75,3.36
Kitui,-1.37,38.02,74.74,52,20,8.88
Kizukuri,40.81,140.39,28,56,88,5.01
Klamath Falls,42.22,-121.78,39.99,93,90,4.07
Kochevo,42.1,24.92,60.8,50,76,9.17
